Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax(TS - TP),Total Salary,Date,Time,Payment,Total Price,Rating,Day,Month,Year,Satisfaction
Alex,Member,Female,Sports and travel,97.48,9,43.866,921.186,2019-03-14,14:19:00,E-Wallet,877.32,7.4,Thursday,March,2019,Satisfied
Cairo,Member,Male,Health and beauty,97.22,9,43.749,918.729,2019-03-30,14:43:00,E-Wallet,874.98,6.0,Saturday,March,2019,Not Satisfied
Giza,Member,Female,Food and beverages,87.1,10,43.55,914.55,2019-02-12,14:45:00,Credit card,871.0,9.9,Tuesday,February,2019,Satisfied
Cairo,Member,Female,Food and beverages,84.63,10,42.315,888.615,2019-01-01,11:36:00,Credit card,846.3,9.0,Tuesday,January,2019,Satisfied
Giza,Normal,Male,Health and beauty,84.61,10,42.305,888.405,2019-02-09,18:58:00,Credit card,846.1,8.8,Saturday,February,2019,Satisfied
Alex,Normal,Male,Home and lifestyle,93.96,9,42.282,887.922,2019-03-20,11:32:00,Cash,845.64,9.8,Wednesday,March,2019,Satisfied
Giza,Normal,Female,Food and beverages,93.26,9,41.967,881.307,2019-01-16,18:08:00,Cash,839.34,8.8,Wednesday,January,2019,Satisfied
Cairo,Normal,Female,Fashion accessories,83.25,10,41.625,874.125,2019-01-12,11:25:00,Credit card,832.5,4.4,Saturday,January,2019,Not Satisfied
Giza,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:08:00,E-Wallet,826.3,7.9,Tuesday,March,2019,Satisfied
Cairo,Member,Male,Health and beauty,82.58,10,41.29,867.0899999999999,2019-03-14,14:41:00,Cash,825.8,5.0,Thursday,March,2019,Not Satisfied
Giza,Member,Male,Electronic accessories,82.34,10,41.17,864.57,2019-03-29,19:12:00,E-Wallet,823.4,4.3,Friday,March,2019,Not Satisfied
Giza,Member,Female,Electronic accessories,81.97,10,40.985,860.6850000000001,2019-03-03,14:30:00,Cash,819.7,9.2,Sunday,March,2019,Satisfied
Giza,Member,Male,Health and beauty,81.95,10,40.975,860.475,2019-03-10,12:39:00,Credit card,819.5,6.0,Sunday,March,2019,Not Satisfied
Giza,Member,Female,Sports and travel,90.63,9,40.7835,856.4535,2019-01-18,15:28:00,Cash,815.67,5.1,Friday,January,2019,Not Satisfied
Cairo,Member,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15:00,E-Wallet,812.52,7.2,Friday,February,2019,Satisfied
Alex,Normal,Female,Food and beverages,81.21000000000001,10,40.605,852.7050000000002,2019-01-17,13:01:00,Credit card,812.1,6.3,Thursday,January,2019,Not Satisfied
Alex,Member,Female,Home and lifestyle,89.21,9,40.1445,843.0345,2019-01-15,15:42:00,Credit card,802.89,6.5,Tuesday,January,2019,Not Satisfied
Alex,Member,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:03:00,Credit card,796.48,5.2,Thursday,February,2019,Not Satisfied
Cairo,Member,Female,Home and lifestyle,88.39,9,39.7755,835.2855,2019-03-02,12:40:00,Cash,795.51,6.3,Saturday,March,2019,Not Satisfied
Cairo,Normal,Female,Electronic accessories,88.25,9,39.7125,833.9625,2019-02-15,20:51:00,Credit card,794.25,7.6,Friday,February,2019,Satisfied
Cairo,Normal,Male,Electronic accessories,79.39,10,39.695,833.595,2019-02-07,20:24:00,Cash,793.9,6.2,Thursday,February,2019,Not Satisfied
Cairo,Normal,Male,Health and beauty,99.16,8,39.664,832.944,2019-01-28,17:47:00,Credit card,793.28,4.2,Monday,January,2019,Not Satisfied
Cairo,Member,Male,Electronic accessories,87.87,9,39.5415,830.3715000000001,2019-01-31,20:32:00,E-Wallet,790.83,5.6,Thursday,January,2019,Not Satisfied
Giza,Normal,Female,Food and beverages,87.80000000000001,9,39.51,829.71,2019-03-16,19:08:00,Cash,790.2,9.2,Saturday,March,2019,Satisfied
Giza,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39:00,Cash,789.6,7.6,Monday,March,2019,Satisfied
Giza,Member,Male,Fashion accessories,98.7,8,39.48,829.08,2019-01-31,10:36:00,E-Wallet,789.6,8.5,Thursday,January,2019,Satisfied
Alex,Member,Female,Sports and travel,78.77000000000001,10,39.385,827.085,2019-01-24,10:04:00,Cash,787.7,6.4,Thursday,January,2019,Not Satisfied
Giza,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24:00,E-Wallet,783.1,6.6,Tuesday,March,2019,Not Satisfied
Giza,Member,Female,Electronic accessories,78.13,10,39.065,820.365,2019-02-10,20:51:00,Cash,781.3,4.4,Sunday,February,2019,Not Satisfied
Alex,Normal,Female,Fashion accessories,97.29,8,38.916,817.2360000000001,2019-03-09,13:18:00,Credit card,778.32,6.2,Saturday,March,2019,Not Satisfied
Giza,Normal,Male,Food and beverages,77.56,10,38.78,814.38,2019-03-14,20:35:00,E-Wallet,775.6,6.9,Thursday,March,2019,Not Satisfied
Cairo,Member,Female,Food and beverages,77.2,10,38.6,810.6,2019-02-11,10:38:00,Credit card,772.0,5.6,Monday,February,2019,Not Satisfied
Alex,Member,Male,Sports and travel,76.92,10,38.46,807.6600000000001,2019-03-17,19:53:00,E-Wallet,769.2,5.6,Sunday,March,2019,Not Satisfied
Cairo,Normal,Female,Sports and travel,76.6,10,38.3,804.3,2019-01-24,18:10:00,E-Wallet,766.0,6.0,Thursday,January,2019,Not Satisfied
Cairo,Normal,Female,Home and lifestyle,95.46,8,38.184,801.8639999999999,2019-03-05,19:40:00,E-Wallet,763.68,4.7,Tuesday,March,2019,Not Satisfied
Cairo,Normal,Male,Fashion accessories,94.87,8,37.948,796.908,2019-02-12,12:58:00,E-Wallet,758.96,8.7,Tuesday,February,2019,Satisfied
Cairo,Normal,Female,Health and beauty,84.08999999999999,9,37.8405,794.6505,2019-02-11,10:54:00,Cash,756.81,8.0,Monday,February,2019,Satisfied
Cairo,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,2019-03-03,19:00:00,E-Wallet,755.92,7.5,Sunday,March,2019,Satisfied
Giza,Normal,Female,Food and beverages,94.47,8,37.788,793.548,2019-02-27,15:12:00,Cash,755.76,9.1,Wednesday,February,2019,Satisfied
Cairo,Normal,Male,Home and lifestyle,93.87,8,37.548,788.508,2019-02-02,18:42:00,Credit card,750.96,8.3,Saturday,February,2019,Satisfied
Alex,Normal,Male,Fashion accessories,83.24,9,37.458,786.6179999999999,2019-01-29,11:56:00,Credit card,749.16,7.4,Tuesday,January,2019,Satisfied
Cairo,Member,Female,Food and beverages,74.6,10,37.3,783.3,2019-01-08,20:55:00,Cash,746.0,9.5,Tuesday,January,2019,Satisfied
Alex,Normal,Female,Home and lifestyle,93.12,8,37.248,782.2080000000001,2019-02-07,10:09:00,Cash,744.96,6.8,Thursday,February,2019,Not Satisfied
Alex,Normal,Female,Food and beverages,74.44,10,37.22,781.62,2019-02-27,11:40:00,E-Wallet,744.4,5.1,Wednesday,February,2019,Not Satisfied
Alex,Member,Female,Electronic accessories,74.22,10,37.11,779.3100000000001,2019-01-01,14:42:00,Credit card,742.2,4.3,Tuesday,January,2019,Not Satisfied
Alex,Member,Female,Electronic accessories,73.47,10,36.735,771.4350000000001,2019-03-23,13:14:00,E-Wallet,734.7,9.5,Saturday,March,2019,Satisfied
Cairo,Member,Male,Electronic accessories,91.56,8,36.624,769.104,2019-01-12,18:22:00,E-Wallet,732.48,6.0,Saturday,January,2019,Not Satisfied
Cairo,Member,Female,Food and beverages,73.05,10,36.525,767.025,2019-03-03,12:25:00,Credit card,730.5,8.7,Sunday,March,2019,Satisfied
Alex,Member,Male,Home and lifestyle,72.78,10,36.39,764.1899999999999,2019-02-03,17:24:00,Cash,727.8,7.3,Sunday,February,2019,Satisfied
Giza,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31:00,Credit card,727.11,9.5,Friday,February,2019,Satisfied
Cairo,Member,Male,Sports and travel,90.53,8,36.212,760.452,2019-03-15,14:48:00,Credit card,724.24,6.5,Friday,March,2019,Not Satisfied
Cairo,Member,Male,Health and beauty,80.47,9,36.2115,760.4415,2019-01-06,11:18:00,Cash,724.23,9.2,Sunday,January,2019,Satisfied
Alex,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55:00,Cash,723.5,5.4,Sunday,January,2019,Not Satisfied
Cairo,Normal,Male,Electronic accessories,72.13,10,36.065,757.365,2019-01-31,15:12:00,Credit card,721.3,4.2,Thursday,January,2019,Not Satisfied
Alex,Normal,Female,Electronic accessories,90.02,8,36.008,756.168,2019-03-21,16:08:00,Credit card,720.16,4.5,Thursday,March,2019,Not Satisfied
Alex,Member,Female,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28:00,E-Wallet,716.8,6.6,Thursday,February,2019,Not Satisfied
Giza,Member,Female,Home and lifestyle,89.25,8,35.7,749.7,2019-01-20,10:13:00,Cash,714.0,4.7,Sunday,January,2019,Not Satisfied
Alex,Member,Female,Home and lifestyle,88.79,8,35.516,745.836,2019-02-17,17:09:00,Cash,710.32,4.1,Sunday,February,2019,Not Satisfied
Giza,Member,Male,Fashion accessories,70.99,10,35.495,745.395,2019-03-20,16:28:00,Cash,709.9,5.7,Wednesday,March,2019,Not Satisfied
Giza,Member,Female,Electronic accessories,88.55,8,35.42,743.8199999999999,2019-03-19,15:29:00,E-Wallet,708.4,4.7,Tuesday,March,2019,Not Satisfied
Cairo,Member,Female,Sports and travel,88.43,8,35.372,742.812,2019-03-22,19:35:00,Credit card,707.44,4.3,Friday,March,2019,Not Satisfied
Giza,Member,Female,Fashion accessories,78.55000000000001,9,35.3475,742.2975,2019-03-01,13:22:00,Cash,706.95,7.2,Friday,March,2019,Satisfied
Cairo,Member,Female,Sports and travel,78.07,9,35.1315,737.7614999999998,2019-01-28,12:43:00,Cash,702.63,4.5,Monday,January,2019,Not Satisfied
Alex,Normal,Female,Fashion accessories,77.93,9,35.0685,736.4385000000001,2019-02-27,16:10:00,E-Wallet,701.37,7.6,Wednesday,February,2019,Satisfied
Giza,Normal,Male,Health and beauty,99.96000000000001,7,34.986,734.706,2019-01-23,10:33:00,Cash,699.72,6.1,Wednesday,January,2019,Not Satisfied
Cairo,Member,Female,Home and lifestyle,77.68,9,34.956,734.0760000000001,2019-02-04,13:21:00,E-Wallet,699.12,9.8,Monday,February,2019,Satisfied
Giza,Normal,Female,Electronic accessories,77.63,9,34.9335,733.6034999999999,2019-02-19,15:14:00,E-Wallet,698.67,7.2,Tuesday,February,2019,Satisfied
Cairo,Normal,Male,Sports and travel,69.74,10,34.87,732.27,2019-03-05,17:49:00,Credit card,697.4,8.9,Tuesday,March,2019,Satisfied
Alex,Normal,Male,Electronic accessories,99.55,7,34.8425,731.6925,2019-03-14,12:07:00,Cash,696.85,7.6,Thursday,March,2019,Satisfied
Cairo,Member,Female,Food and beverages,77.4,9,34.83,731.4300000000001,2019-02-15,14:15:00,Credit card,696.6,4.5,Friday,February,2019,Not Satisfied
Alex,Member,Male,Fashion accessories,86.68,8,34.672,728.1120000000001,2019-01-24,18:04:00,Credit card,693.44,7.2,Thursday,January,2019,Satisfied
Alex,Member,Female,Sports and travel,98.39999999999999,7,34.44,723.24,2019-03-12,12:43:00,Credit card,688.8,8.7,Tuesday,March,2019,Satisfied
Giza,Member,Female,Electronic accessories,85.98,8,34.392,722.2320000000001,2019-02-28,19:01:00,Cash,687.84,8.2,Thursday,February,2019,Satisfied
Alex,Normal,Male,Fashion accessories,76.4,9,34.38,721.98,2019-03-19,15:49:00,E-Wallet,687.6,7.5,Tuesday,March,2019,Satisfied
Giza,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,19:57:00,Cash,686.0,9.1,Tuesday,February,2019,Satisfied
Giza,Member,Female,Fashion accessories,97.78999999999999,7,34.2265,718.7565,2019-02-16,17:30:00,E-Wallet,684.53,4.9,Saturday,February,2019,Not Satisfied
Cairo,Member,Female,Electronic accessories,75.58999999999999,9,34.0155,714.3254999999999,2019-02-23,11:12:00,Cash,680.31,8.0,Saturday,February,2019,Satisfied
Alex,Normal,Female,Electronic accessories,75.06,9,33.777,709.317,2019-03-19,13:25:00,E-Wallet,675.54,6.2,Tuesday,March,2019,Not Satisfied
Giza,Normal,Male,Electronic accessories,96.37,7,33.7295,708.3195000000001,2019-01-09,11:40:00,Cash,674.59,6.0,Wednesday,January,2019,Not Satisfied
Alex,Member,Male,Food and beverages,67.45,10,33.725,708.225,2019-02-03,11:25:00,E-Wallet,674.5,4.2,Sunday,February,2019,Not Satisfied
Alex,Member,Female,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55:00,E-Wallet,672.03,9.4,Tuesday,January,2019,Satisfied
Cairo,Member,Female,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49:00,Cash,670.24,5.1,Thursday,January,2019,Not Satisfied
Cairo,Normal,Male,Fashion accessories,95.53999999999999,7,33.439,702.2189999999999,2019-03-09,14:36:00,Credit card,668.78,9.6,Saturday,March,2019,Satisfied
Giza,Normal,Male,Sports and travel,95.49,7,33.4215,701.8515,2019-02-22,18:17:00,E-Wallet,668.43,8.7,Friday,February,2019,Satisfied
Cairo,Member,Male,Health and beauty,66.47,10,33.235,697.9350000000001,2019-01-15,15:01:00,Credit card,664.7,5.0,Tuesday,January,2019,Not Satisfied
Alex,Member,Female,Home and lifestyle,94.88,7,33.208,697.3679999999999,2019-02-03,14:38:00,Cash,664.16,4.2,Sunday,February,2019,Not Satisfied
Cairo,Member,Female,Home and lifestyle,94.59,7,33.1065,695.2365,2019-01-17,15:27:00,Credit card,662.13,4.9,Thursday,January,2019,Not Satisfied
Alex,Normal,Female,Electronic accessories,93.88,7,32.858,690.0179999999999,2019-01-05,11:51:00,Credit card,657.16,7.3,Saturday,January,2019,Satisfied
Giza,Member,Female,Food and beverages,72.88,9,32.796,688.716,2019-01-08,19:38:00,Cash,655.92,4.0,Tuesday,January,2019,Not Satisfied
Alex,Member,Female,Home and lifestyle,93.69000000000001,7,32.7915,688.6215000000001,2019-03-10,18:44:00,Credit card,655.83,4.5,Sunday,March,2019,Not Satisfied
Cairo,Member,Male,Fashion accessories,65.22999999999999,10,32.615,684.915,2019-01-08,19:07:00,Credit card,652.3,5.2,Tuesday,January,2019,Not Satisfied
Giza,Normal,Male,Electronic accessories,64.95,10,32.475,681.975,2019-03-24,18:27:00,Cash,649.5,5.2,Sunday,March,2019,Not Satisfied
Cairo,Member,Female,Health and beauty,72.11,9,32.4495,681.4395,2019-01-28,13:53:00,Credit card,648.99,7.7,Monday,January,2019,Satisfied
Alex,Member,Male,Electronic accessories,92.60000000000001,7,32.41,680.61,2019-02-27,12:52:00,Credit card,648.2,9.3,Wednesday,February,2019,Satisfied
Giza,Normal,Female,Sports and travel,80.97,8,32.388,680.148,2019-01-28,13:05:00,Cash,647.76,9.3,Monday,January,2019,Satisfied
Alex,Member,Male,Food and beverages,80.96,8,32.384,680.064,2019-02-17,11:12:00,Credit card,647.68,7.4,Sunday,February,2019,Satisfied
Alex,Normal,Male,Sports and travel,64.19,10,32.095,673.995,2019-01-19,14:08:00,Credit card,641.9,6.7,Saturday,January,2019,Not Satisfied
Giza,Member,Female,Food and beverages,91.39999999999999,7,31.99,671.79,2019-02-03,10:19:00,Cash,639.8,9.5,Sunday,February,2019,Satisfied
Alex,Member,Male,Home and lifestyle,63.56,10,31.78,667.38,2019-01-16,17:59:00,Cash,635.6,4.3,Wednesday,January,2019,Not Satisfied
Cairo,Member,Female,Sports and travel,90.74,7,31.759,666.939,2019-01-16,18:03:00,Credit card,635.18,6.2,Wednesday,January,2019,Not Satisfied
Giza,Member,Female,Sports and travel,70.19,9,31.5855,663.2955000000001,2019-01-25,13:38:00,Cash,631.71,6.7,Friday,January,2019,Not Satisfied
Alex,Member,Male,Electronic accessories,69.58,9,31.311,657.5310000000001,2019-02-19,19:38:00,Credit card,626.22,7.8,Tuesday,February,2019,Satisfied
Cairo,Member,Male,Health and beauty,69.37,9,31.2165,655.5465,2019-01-26,19:14:00,E-Wallet,624.33,4.0,Saturday,January,2019,Not Satisfied
Giza,Normal,Female,Fashion accessories,62.17999999999999,10,31.09,652.89,2019-01-31,10:33:00,E-Wallet,621.8,6.0,Thursday,January,2019,Not Satisfied
Giza,Member,Female,Fashion accessories,62.120000000000005,10,31.06,652.26,2019-02-11,16:19:00,Cash,621.2,5.9,Monday,February,2019,Not Satisfied
Alex,Member,Female,Fashion accessories,88.34,7,30.919,649.299,2019-02-18,13:28:00,Cash,618.38,6.6,Monday,February,2019,Not Satisfied
Cairo,Normal,Male,Electronic accessories,87.08,7,30.478,640.0379999999999,2019-01-26,15:17:00,Cash,609.56,5.5,Saturday,January,2019,Not Satisfied
Cairo,Normal,Male,Sports and travel,75.92,8,30.368,637.7280000000001,2019-03-20,14:14:00,Cash,607.36,5.5,Wednesday,March,2019,Not Satisfied
Cairo,Member,Male,Home and lifestyle,60.379999999999995,10,30.19,633.99,2019-02-12,16:19:00,Cash,603.8,6.0,Tuesday,February,2019,Not Satisfied
Cairo,Member,Male,Health and beauty,75.37,8,30.148,633.1080000000001,2019-01-28,15:46:00,Credit card,602.96,8.4,Monday,January,2019,Satisfied
Giza,Member,Female,Health and beauty,85.87,7,30.0545,631.1445,2019-02-27,19:01:00,Credit card,601.09,8.0,Wednesday,February,2019,Satisfied
Giza,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,2019-01-04,18:19:00,Credit card,599.85,9.7,Friday,January,2019,Satisfied
Cairo,Normal,Male,Home and lifestyle,99.92,6,29.976,629.496,2019-03-24,13:33:00,E-Wallet,599.52,7.1,Sunday,March,2019,Satisfied
Giza,Member,Male,Health and beauty,85.60000000000001,7,29.96,629.1600000000001,2019-03-02,13:50:00,Cash,599.2,5.3,Saturday,March,2019,Not Satisfied
Alex,Member,Male,Health and beauty,99.83,6,29.949,628.929,2019-03-04,15:02:00,E-Wallet,598.98,8.5,Monday,March,2019,Satisfied
Cairo,Normal,Female,Health and beauty,99.71,6,29.913,628.173,2019-02-26,16:52:00,E-Wallet,598.26,7.9,Tuesday,February,2019,Satisfied
Giza,Normal,Male,Fashion accessories,59.61,10,29.805,625.905,2019-03-14,11:07:00,Cash,596.1,5.3,Thursday,March,2019,Not Satisfied
Giza,Member,Female,Health and beauty,99.19,6,29.757,624.8969999999999,2019-01-21,14:42:00,Credit card,595.14,5.5,Monday,January,2019,Not Satisfied
Alex,Normal,Female,Fashion accessories,99.10000000000001,6,29.73,624.33,2019-01-19,13:11:00,Cash,594.6,4.2,Saturday,January,2019,Not Satisfied
Alex,Normal,Female,Fashion accessories,65.74,9,29.583,621.2429999999999,2019-01-01,13:55:00,Cash,591.66,7.7,Tuesday,January,2019,Satisfied
Alex,Member,Male,Food and beverages,98.52999999999999,6,29.559,620.7389999999999,2019-01-23,11:22:00,Credit card,591.18,4.0,Wednesday,January,2019,Not Satisfied
Giza,Normal,Male,Health and beauty,58.95,10,29.475,618.975,2019-02-07,14:27:00,E-Wallet,589.5,8.1,Thursday,February,2019,Satisfied
Giza,Normal,Male,Electronic accessories,58.760000000000005,10,29.38,616.98,2019-01-29,14:26:00,E-Wallet,587.6,9.0,Tuesday,January,2019,Satisfied
Cairo,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:01:00,E-Wallet,585.66,9.9,Monday,January,2019,Satisfied
Giza,Normal,Female,Sports and travel,83.14,7,29.099,611.0790000000001,2019-01-10,10:31:00,Credit card,581.98,6.6,Thursday,January,2019,Not Satisfied
Giza,Member,Female,Sports and travel,83.05999999999999,7,29.071,610.491,2019-03-05,14:31:00,E-Wallet,581.42,4.0,Tuesday,March,2019,Not Satisfied
Cairo,Member,Male,Health and beauty,72.57,8,29.028,609.588,2019-03-30,17:58:00,Cash,580.56,4.6,Saturday,March,2019,Not Satisfied
Giza,Member,Female,Food and beverages,72.52,8,29.008,609.168,2019-03-30,19:26:00,Credit card,580.16,4.0,Saturday,March,2019,Not Satisfied
Alex,Normal,Female,Sports and travel,72.5,8,29.0,609.0,2019-03-16,19:25:00,E-Wallet,580.0,9.2,Saturday,March,2019,Satisfied
Cairo,Member,Female,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09:00,Credit card,579.24,8.6,Tuesday,March,2019,Satisfied
Alex,Normal,Female,Home and lifestyle,96.52,6,28.956,608.076,2019-01-11,11:52:00,Cash,579.12,4.5,Friday,January,2019,Not Satisfied
Giza,Normal,Male,Electronic accessories,71.89,8,28.756,603.876,2019-02-19,11:33:00,E-Wallet,575.12,5.5,Tuesday,February,2019,Not Satisfied
Cairo,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,15:07:00,Credit card,574.88,6.2,Wednesday,March,2019,Not Satisfied
Cairo,Member,Male,Fashion accessories,81.30999999999999,7,28.4585,597.6284999999999,2019-03-01,19:49:00,E-Wallet,569.17,6.3,Friday,March,2019,Not Satisfied
Giza,Member,Male,Health and beauty,81.23,7,28.4305,597.0405000000001,2019-01-15,20:44:00,Cash,568.61,9.0,Tuesday,January,2019,Satisfied
Giza,Member,Female,Home and lifestyle,81.2,7,28.42,596.8199999999999,2019-03-23,15:59:00,Credit card,568.4,8.1,Saturday,March,2019,Satisfied
Alex,Member,Male,Fashion accessories,56.04,10,28.02,588.42,2019-01-14,19:30:00,E-Wallet,560.4,4.4,Monday,January,2019,Not Satisfied
Cairo,Normal,Male,Sports and travel,93.39,6,28.017,588.3570000000001,2019-03-27,19:18:00,E-Wallet,560.34,10.0,Wednesday,March,2019,Satisfied
Alex,Normal,Female,Home and lifestyle,69.96,8,27.984,587.664,2019-02-15,17:01:00,Credit card,559.68,6.4,Friday,February,2019,Not Satisfied
Cairo,Normal,Female,Fashion accessories,79.86,7,27.951,586.971,2019-01-10,10:33:00,Credit card,559.02,5.5,Thursday,January,2019,Not Satisfied
Giza,Normal,Male,Electronic accessories,55.870000000000005,10,27.935,586.635,2019-01-15,15:01:00,Cash,558.7,5.8,Tuesday,January,2019,Not Satisfied
Alex,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34:00,Cash,552.78,8.3,Wednesday,March,2019,Satisfied
Giza,Normal,Female,Health and beauty,78.89,7,27.6115,579.8415,2019-01-05,19:48:00,E-Wallet,552.23,7.5,Saturday,January,2019,Satisfied
Alex,Normal,Male,Sports and travel,60.949999999999996,9,27.4275,575.9775,2019-01-07,12:08:00,Credit card,548.55,6.0,Monday,January,2019,Not Satisfied
Giza,Member,Female,Food and beverages,68.54,8,27.416,575.7360000000001,2019-01-08,15:57:00,E-Wallet,548.32,8.5,Tuesday,January,2019,Satisfied
Alex,Member,Female,Electronic accessories,60.879999999999995,9,27.396,575.3159999999999,2019-01-15,17:17:00,E-Wallet,547.92,4.7,Tuesday,January,2019,Not Satisfied
Giza,Member,Female,Sports and travel,54.55,10,27.275,572.775,2019-03-02,11:22:00,Credit card,545.5,7.1,Saturday,March,2019,Satisfied
Cairo,Member,Female,Electronic accessories,90.7,6,27.21,571.4100000000001,2019-02-26,10:52:00,Cash,544.2,5.3,Tuesday,February,2019,Not Satisfied
Cairo,Member,Female,Food and beverages,54.36,10,27.18,570.78,2019-02-07,11:28:00,Credit card,543.6,6.1,Thursday,February,2019,Not Satisfied
Giza,Normal,Female,Food and beverages,90.24000000000001,6,27.072,568.5120000000001,2019-01-27,11:17:00,Cash,541.44,6.2,Sunday,January,2019,Not Satisfied
Cairo,Member,Female,Health and beauty,76.89999999999999,7,26.915,565.2149999999999,2019-02-15,20:21:00,Cash,538.3,7.7,Friday,February,2019,Satisfied
Alex,Member,Male,Sports and travel,89.06,6,26.718,561.078,2019-01-18,17:26:00,Cash,534.36,9.9,Friday,January,2019,Satisfied
Cairo,Normal,Male,Electronic accessories,75.88,7,26.558,557.718,2019-01-24,10:38:00,E-Wallet,531.16,8.9,Thursday,January,2019,Satisfied
Cairo,Normal,Female,Electronic accessories,52.79,10,26.395,554.295,2019-02-25,11:58:00,E-Wallet,527.9,10.0,Monday,February,2019,Satisfied
